batting_team,bowling_team,city,runs_left,balls_left,wickets_left,target,crr,rrr,result
Rising Pune Supergiant,Mumbai Indians,Pune,57,36,8,185,9.142857142857142,9.5,1
Rising Pune Supergiant,Mumbai Indians,Pune,56,35,8,185,9.105882352941176,9.6,1
Rising Pune Supergiant,Mumbai Indians,Pune,52,35,8,185,9.388235294117647,8.914285714285715,1
Rising Pune Supergiant,Mumbai Indians,Pune,51,34,8,185,9.348837209302326,9.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,49,33,8,185,9.379310344827585,8.909090909090908,1
Rising Pune Supergiant,Mumbai Indians,Pune,48,32,8,185,9.340909090909092,9.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,47,31,8,185,9.303370786516854,9.096774193548388,1
Rising Pune Supergiant,Mumbai Indians,Pune,46,30,8,185,9.266666666666667,9.2,1
Rising Pune Supergiant,Mumbai Indians,Pune,46,29,8,185,9.164835164835164,9.517241379310345,1
Rising Pune Supergiant,Mumbai Indians,Pune,42,29,8,185,9.428571428571429,8.689655172413794,1
Rising Pune Supergiant,Mumbai Indians,Pune,42,28,7,185,9.326086956521738,9.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,41,27,7,185,9.290322580645162,9.11111111111111,1
Rising Pune Supergiant,Mumbai Indians,Pune,40,26,7,185,9.25531914893617,9.23076923076923,1
Rising Pune Supergiant,Mumbai Indians,Pune,38,25,7,185,9.284210526315789,9.12,1
Rising Pune Supergiant,Mumbai Indians,Pune,37,24,7,185,9.25,9.25,1
Rising Pune Supergiant,Mumbai Indians,Pune,36,23,7,185,9.216494845360824,9.391304347826088,1
Rising Pune Supergiant,Mumbai Indians,Pune,35,22,7,185,9.183673469387756,9.545454545454545,1
Rising Pune Supergiant,Mumbai Indians,Pune,33,21,7,185,9.212121212121213,9.428571428571429,1
Rising Pune Supergiant,Mumbai Indians,Pune,33,20,7,185,9.12,9.9,1
Rising Pune Supergiant,Mumbai Indians,Pune,31,19,7,185,9.148514851485148,9.789473684210526,1
Rising Pune Supergiant,Mumbai Indians,Pune,27,18,7,185,9.294117647058824,9.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,27,17,7,185,9.20388349514563,9.529411764705882,1
Rising Pune Supergiant,Mumbai Indians,Pune,26,16,7,185,9.173076923076923,9.75,1
Rising Pune Supergiant,Mumbai Indians,Pune,26,15,7,185,9.085714285714285,10.4,1
Rising Pune Supergiant,Mumbai Indians,Pune,25,14,7,185,9.056603773584905,10.714285714285714,1
Rising Pune Supergiant,Mumbai Indians,Pune,24,13,7,185,9.02803738317757,11.076923076923077,1
Rising Pune Supergiant,Mumbai Indians,Pune,20,12,7,185,9.166666666666666,10.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,19,11,7,185,9.137614678899082,10.363636363636363,1
Rising Pune Supergiant,Mumbai Indians,Pune,18,10,7,185,9.10909090909091,10.8,1
Rising Pune Supergiant,Mumbai Indians,Pune,18,9,7,185,9.027027027027026,12.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,18,8,7,185,8.946428571428571,13.5,1
Rising Pune Supergiant,Mumbai Indians,Pune,14,7,7,185,9.079646017699115,12.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,13,6,7,185,9.052631578947368,13.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,12,5,7,185,9.02608695652174,14.4,1
Rising Pune Supergiant,Mumbai Indians,Pune,11,4,7,185,9.0,16.5,1
Rising Pune Supergiant,Mumbai Indians,Pune,10,3,7,185,8.974358974358974,20.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,4,2,7,185,9.203389830508474,12.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,-2,1,7,185,9.428571428571429,-12.0,1
Kolkata Knight Riders,Gujarat Lions,Rajkot,183,119,10,184,6.0,9.22689075630252,1
Kolkata Knight Riders,Gujarat Lions,Rajkot,183,118,10,184,3.0,9.305084745762711,1
Kolkata Knight Riders,Gujarat Lions,Rajkot,182,117,10,184,4.0,9.333333333333334,1
Kolkata Knight Riders,Gujarat Lions,Rajkot,182,116,10,184,3.0,9.413793103448276,1
Kolkata Knight Riders,Gujarat Lions,Rajkot,181,115,10,184,3.6,9.443478260869565,1
Kolkata Knight Riders,Gujarat Lions,Rajkot,177,114,10,184,7.0,9.31578947368421,1
Kolkata Knight Riders,Gujarat Lions,Rajkot,176,113,10,184,6.857142857142857,9.345132743362832,1
